Date,Total Cases,Total Deaths,Daily increase in Cases,Daily increase in Deaths
2020-02-28,9,4,9.0,4.0
2020-02-29,18,5,9.0,1.0
2020-03-01,31,8,13.0,3.0
2020-03-02,35,11,4.0,3.0
2020-03-03,60,14,25.0,3.0
2020-03-04,157,16,97.0,2.0
2020-03-05,204,20,47.0,4.0
2020-03-06,296,26,92.0,6.0
2020-03-07,422,27,126.0,1.0
2020-03-08,563,31,141.0,4.0
2020-03-09,794,35,231.0,4.0
2020-03-10,1007,37,213.0,2.0
2020-03-11,1262,43,255.0,6.0
2020-03-12,1521,51,259.0,8.0
2020-03-13,2166,55,645.0,4.0
2020-03-14,2675,63,509.0,8.0
2020-03-15,3455,76,780.0,13.0
2020-03-16,4302,97,847.0,21.0
2020-03-17,6038,119,1736.0,22.0
2020-03-18,8106,142,2068.0,23.0
2020-03-19,12078,185,3972.0,43.0
2020-03-20,17430,247,5352.0,62.0
2020-03-21,23679,297,6249.0,50.0
2020-03-22,32328,426,8649.0,129.0
2020-03-23,42605,509,10277.0,83.0
2020-03-24,52574,706,9969.0,197.0
2020-03-25,69508,931,16934.0,225.0
2020-03-26,86811,1208,17303.0,277.0
2020-03-27,105484,1574,18673.0,366.0
2020-03-28,124884,2001,19400.0,427.0
2020-03-29,144377,2467,19493.0,466.0
2020-03-30,165597,2983,21220.0,516.0
2020-03-31,190078,3803,24481.0,820.0
2020-04-01,215329,4746,25251.0,943.0
2020-04-02,243403,5835,28074.0,1089.0
2020-04-03,275457,7026,32054.0,1191.0
2020-04-04,308993,8379,33536.0,1353.0
2020-04-05,334967,9554,25974.0,1175.0
2020-04-06,363719,10720,28752.0,1166.0
2020-04-07,394156,12646,30437.0,1926.0
2020-04-08,424289,14547,30133.0,1901.0
2020-04-09,458635,16424,34346.0,1877.0
2020-04-10,493252,18488,34617.0,2064.0
2020-04-11,522843,20355,29591.0,1867.0
2020-04-12,551826,21919,28983.0,1564.0
