Year,No High School Diploma,High School Graduate,Some College,Bachelor's Degree or Higher
2006,6.783333333333332,4.3,3.5750000000000006,2.025
2007,7.133333333333334,4.374999999999999,3.5583333333333336,2.025
2008,9.025,5.683333333333334,4.574999999999999,2.5583333333333336
2009,14.666666666666664,9.733333333333334,7.958333333333333,4.6083333333333325
2010,14.841666666666669,10.291666666666666,8.383333333333333,4.708333333333333
2011,14.075000000000001,9.424999999999999,7.966666666666666,4.308333333333333
2012,12.391666666666666,8.308333333333332,7.1000000000000005,4.025
2013,10.958333333333334,7.508333333333334,6.366666666666667,3.6999999999999993
2014,9.016666666666667,6.008333333333334,5.425000000000001,3.1750000000000003
2015,7.941666666666666,5.441666666666666,4.508333333333334,2.5666666666666664
2016,7.433333333333333,5.191666666666667,4.083333333333334,2.5083333333333333
2017,6.508333333333334,4.65,3.75,2.3166666666666664
2018,5.608333333333333,4.041666666666666,3.3166666666666664,2.1250000000000004
