,Year,Month #,Date,No High School Diploma,High School Graduate,Some College,Bachelor's Degree or Higher
155,2018,1,2018-1,5.8,3.8,3.3,2.2
154,2018,2,2018-2,5.6,3.5,3.1,2.2
153,2018,3,2018-3,5.9,4.0,3.1,2.0
152,2018,4,2018-4,5.7,3.8,3.2,2.0
151,2018,5,2018-5,5.7,3.9,3.5,2.0
150,2018,6,2018-6,5.2,4.1,3.2,2.2
149,2018,7,2018-7,5.5,4.1,3.3,2.3
148,2018,8,2018-8,5.5,3.9,3.3,2.0
147,2018,9,2018-9,5.8,4.3,3.4,2.1
146,2018,10,2018-10,5.5,4.3,3.5,2.2
145,2018,11,2018-11,5.7,4.4,3.5,2.2
144,2018,12,2018-12,5.4,4.4,3.4,2.1
143,2017,1,2017-1,6.2,4.2,3.6,2.2
142,2017,2,2017-2,5.2,4.4,3.6,2.1
141,2017,3,2017-3,5.9,4.2,3.7,2.1
140,2017,4,2017-4,6.7,4.4,3.6,2.3
139,2017,5,2017-5,6.1,5.1,3.7,2.4
138,2017,6,2017-6,7.1,4.5,3.7,2.3
137,2017,7,2017-7,6.5,4.6,3.8,2.3
136,2017,8,2017-8,6.3,4.8,4.1,2.3
135,2017,9,2017-9,6.4,4.6,3.7,2.5
134,2017,10,2017-10,6.6,4.9,3.7,2.4
133,2017,11,2017-11,7.7,4.9,4.0,2.4
132,2017,12,2017-12,7.4,5.2,3.8,2.5
131,2016,1,2016-1,7.5,5.1,3.8,2.5
130,2016,2,2016-2,7.8,5.0,3.9,2.4
129,2016,3,2016-3,7.4,5.4,3.9,2.6
128,2016,4,2016-4,8.5,5.3,4.2,2.5
127,2016,5,2016-5,7.4,5.0,4.2,2.6
126,2016,6,2016-6,6.5,5.1,4.2,2.5
125,2016,7,2016-7,7.6,5.1,4.2,2.5
124,2016,8,2016-8,7.5,5.1,3.9,2.5
123,2016,9,2016-9,7.6,5.5,4.2,2.4
122,2016,10,2016-10,7.3,5.3,4.1,2.6
121,2016,11,2016-11,7.0,5.2,4.2,2.5
120,2016,12,2016-12,7.1,5.2,4.2,2.5
119,2015,1,2015-1,6.4,5.6,4.1,2.5
118,2015,2,2015-2,6.8,5.4,4.4,2.5
117,2015,3,2015-3,7.6,5.2,4.4,2.5
116,2015,4,2015-4,7.9,5.3,4.3,2.5
115,2015,5,2015-5,7.9,5.5,4.3,2.4
114,2015,6,2015-6,8.3,5.5,4.3,2.5
113,2015,7,2015-7,8.2,5.4,4.2,2.5
112,2015,8,2015-8,8.7,5.8,4.4,2.8
111,2015,9,2015-9,8.4,5.5,4.7,2.7
110,2015,10,2015-10,8.6,5.3,4.8,2.4
109,2015,11,2015-11,8.2,5.4,5.0,2.7
108,2015,12,2015-12,8.3,5.4,5.2,2.8
107,2014,1,2014-1,8.6,5.3,5.0,2.8
106,2014,2,2014-2,8.6,5.7,4.9,3.2
105,2014,3,2014-3,8.1,5.7,4.9,3.0
104,2014,4,2014-4,8.5,5.4,5.4,2.9
103,2014,5,2014-5,9.2,6.1,5.3,3.2
102,2014,6,2014-6,9.5,6.1,5.3,3.1
101,2014,7,2014-7,9.2,5.9,5.2,3.3
100,2014,8,2014-8,9.2,6.5,5.5,3.2
99,2014,9,2014-9,8.7,6.2,5.7,3.3
98,2014,10,2014-10,9.4,6.3,6.0,3.4
97,2014,11,2014-11,9.8,6.4,6.0,3.4
96,2014,12,2014-12,9.4,6.5,5.9,3.3
95,2013,1,2013-1,9.8,7.0,6.2,3.3
94,2013,2,2013-2,10.7,7.2,6.4,3.4
93,2013,3,2013-3,10.9,7.2,6.4,3.7
92,2013,4,2013-4,10.5,7.6,6.1,3.7
91,2013,5,2013-5,11.1,7.4,6.1,3.4
90,2013,6,2013-6,10.8,7.5,6.1,3.8
89,2013,7,2013-7,10.7,7.7,6.5,3.8
88,2013,8,2013-8,11.0,7.3,6.5,3.9
87,2013,9,2013-9,11.6,7.5,6.4,3.9
