State, avg1218
Alaska, 6.817857142857143
Arizona, 6.272619047619048
Arkansas, 5.301190476190476
California, 6.795238095238096
Colorado, 4.6952380952380945
Connecticut, 6.076190476190477
Delaware, 5.321428571428571
Florida, 5.7250000000000005
Georgia, 6.357142857142856
Hawaii, 3.8166666666666664
Idaho, 4.5928571428571425
Illinois, 6.595238095238095
Indiana, 5.463095238095237
Iowa, 3.875
Kansas, 4.389285714285713
Kentucky, 6.038095238095238
Louisiana, 6.0738095238095235
Maine, 4.927380952380952
Maryland, 5.292857142857143
Massachusetts, 4.985714285714286
Michigan, 6.328571428571429
Minnesota, 4.089285714285714
Mississippi, 6.736904761904762
Missouri, 5.188095238095237
Montana, 4.569047619047619
Nebraska, 3.279761904761905
Nevada, 7.2369047619047615
New Hampshire, 3.7702380952380947
New Jersey, 6.254761904761905
New Mexico, 6.3690476190476195
New York, 5.932142857142858
North Carolina, 6.113095238095239
North Dakota, 2.826190476190476
Ohio, 5.7178571428571425
Oklahoma, 4.559523809523809
Oregon, 6.003571428571427
Pennsylvania, 5.8309523809523816
Puerto Rico, 12.346428571428572
Rhode Island, 6.703571428571427
South Carolina, 6.001190476190476
South Dakota, 3.4035714285714285
Tennessee, 5.683333333333333
Texas, 5.045238095238096
Utah, 3.880952380952381
Vermont, 3.6476190476190475
Virginia, 4.613095238095238
Washington, 5.904761904761905
West Virginia, 6.30357142857143
Wisconsin, 4.847619047619047
Wyoming, 4.548809523809523
