Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,
(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,"Total
Construction1","Total
Residential","Total
Nonresidential","Total
Lodging","Total
Office","Total
Commercial","Total
Health care",Date,"Total
Educational","Total
Religious","Total
Public safety","Total
Amusement and recreation","Total
Transportation","Total
Communication",Date,"Total
Power","Total
Highway and street","Total
Sewage and waste disposal","Total
Water supply","Total
Conservation and development","Total
Manufacturing",Date,"Total
Private Construction2","Private
Residential","Private
Nonresidential","Private
Lodging","Private
Office","Private
Commercial","Private
Health care",Date,"Private
Educational","Private
Religious","Private
Amusement and recreation","Private
Transportation","Private
Communication","Private
Power","Private
Manufacturing",Date,"Total
Public Construction3","Public
Residential","Public
Nonresidential","Public
Office","Public
Commercial","Public
Health care","Public
Education",Date,"Public
Public safety","Public
Amusement and recreation","Public
Transportation","Public
Power","Public
Highway and street","Public
Sewage and waste disposal","Public
Water supply","Public
Conservation and development"
Feb-20p,"1,366,697","571,583","795,114","30,128","79,697","88,007","42,985",Feb-20p,"96,459","2,968","11,350","26,765","55,957","23,538",Feb-20p,"106,044","102,783","26,494","18,489","10,276","73,176",Feb-20p,"1,025,821","564,302","461,519","28,935","68,230","84,060","34,612",Feb-20p,"16,983","2,968","12,865","16,102","23,452","99,084","72,928",Feb-20p,"340,876","7,281","333,595","11,466","3,947","8,373","79,476",Feb-20p,"11,229","13,900","39,855","6,960","102,369","26,163","18,129","10,202"
Jan-20r,"1,384,486","574,954","809,532","31,265","80,282","91,078","44,153",Jan-20r,"97,953","3,049","11,363","27,369","55,644","23,697",Jan-20r,"106,746","103,987","27,231","18,916","10,417","76,382",Jan-20r,"1,038,541","567,555","470,986","30,044","68,656","86,770","35,533",Jan-20r,"17,256","3,049","13,030","16,084","23,612","99,501","76,103",Jan-20r,"345,945","7,400","338,546","11,626","4,308","8,620","80,697",Jan-20r,"11,230","14,339","39,560","7,245","103,634","26,760","18,603","10,339"
Dec-19r,"1,347,333","553,837","793,497","31,992","80,021","88,235","44,345",Dec-19r,"98,062","2,973","10,815","27,634","54,713","23,738",Dec-19r,"103,549","97,150","26,214","17,969","10,059","76,029",Dec-19r,"1,012,968","546,532","466,436","30,788","68,614","84,154","35,717",Dec-19r,"17,604","2,973","13,391","16,097","23,617","96,223","75,802",Dec-19r,"334,366","7,305","327,061","11,407","4,081","8,628","80,458",Dec-19r,"10,668","14,243","38,617","7,327","96,786","25,669","17,655","9,972"
Nov-19,"1,342,490","542,838","799,653","32,390","80,318","87,935","44,322",Nov-19,"99,886","3,136","10,809","27,908","55,087","23,489",Nov-19,"102,781","95,578","26,525","18,253","9,795","81,441",Nov-19,"1,006,752","535,764","470,988","31,025","68,626","84,101","35,257",Nov-19,"18,176","3,136","13,763","16,151","23,378","94,826","81,076",Nov-19,"335,738","7,074","328,665","11,692","3,834","9,064","81,710",Nov-19,"10,670","14,145","38,937","7,955","95,277","25,963","17,885","9,695"
Oct-19,"1,320,788","532,521","788,266","33,457","79,999","86,330","43,918",Oct-19,"101,613","2,920","10,873","27,325","54,984","23,118",Oct-19,"98,820","94,429","26,721","17,799","9,774","76,186",Oct-19,"986,322","525,269","461,053","32,248","68,733","81,701","34,958",Oct-19,"18,518","2,920","13,477","16,401","23,022","91,653","75,866",Oct-19,"334,466","7,252","327,214","11,266","4,629","8,960","83,095",Oct-19,"10,738","13,849","38,583","7,167","94,061","26,059","17,494","9,686"
Sep-19,"1,315,229","529,455","785,775","32,590","80,109","85,604","44,038",Sep-19,"100,602","2,845","10,598","27,082","55,750","23,559",Sep-19,"99,353","97,514","27,178","17,074","9,478","72,402",Sep-19,"979,976","522,540","457,436","31,391","68,901","81,066","34,957",Sep-19,"18,938","2,845","13,407","16,843","23,439","92,127","72,099",Sep-19,"335,253","6,915","328,339","11,208","4,538","9,080","81,664",Sep-19,"10,424","13,675","38,907","7,226","97,202","26,619","16,773","9,400"
Aug-19,"1,305,986","525,229","780,757","33,588","79,997","83,506","43,411",Aug-19,"97,256","2,827","10,673","27,961","55,512","23,676",Aug-19,"100,922","95,429","26,778","16,428","9,803","72,991",Aug-19,"976,716","518,495","458,221","32,619","68,925","79,306","34,317",Aug-19,"18,610","2,827","13,765","16,375","23,556","93,574","72,708",Aug-19,"329,270","6,734","322,536","11,072","4,200","9,094","78,646",Aug-19,"10,462","14,197","39,137","7,348","95,138","26,185","16,138","9,549"
Jul-19,"1,291,250","510,759","780,491","33,889","79,275","84,691","44,148",Jul-19,"95,471","2,917","10,392","27,596","55,782","23,399",Jul-19,"97,990","97,367","27,203","17,201","9,524","73,647",Jul-19,"962,690","504,636","458,054","32,928","68,636","79,786","35,292",Jul-19,"18,640","2,917","13,593","16,424","23,274","91,635","73,330",Jul-19,"328,560","6,123","322,437","10,639","4,905","8,856","76,831",Jul-19,"10,143","14,003","39,358","6,355","97,051","26,554","16,881","9,458"
Jun-19,"1,285,299","505,833","779,466","35,343","78,537","85,440","43,761",Jun-19,"91,819","2,733","10,246","28,397","56,992","23,306",Jun-19,"98,695","100,694","27,138","16,503","9,097","70,765",Jun-19,"959,160","499,610","459,550","34,441","68,140","81,217","34,848",Jun-19,"17,984","2,733","14,342","17,179","23,192","93,434","70,474",Jun-19,"326,139","6,223","319,916","10,397","4,224","8,913","73,835",Jun-19,"10,030","14,055","39,813","5,261","100,384","26,437","16,217","9,045"
May-19,"1,297,464","509,632","787,831","34,359","78,479","83,528","43,972",May-19,"97,651","2,839","10,063","28,144","56,420","23,507",May-19,"101,338","105,451","27,186","16,035","8,644","70,216",May-19,"962,688","503,578","459,111","33,179","68,381","79,313","34,864",May-19,"18,766","2,839","14,516","17,197","23,313","95,359","69,967",May-19,"334,775","6,055","328,721","10,098","4,215","9,108","78,885",May-19,"9,848","13,628","39,223","5,980","105,169","26,546","15,785","8,616"
