Date,Year,Month,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District Of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2012-01,2012,January,8.1,7.4,8.7,7.7,11.0,8.2,8.2,7.1,9.8,8.9,9.7,6.7,7.7,9.1,8.6,5.2,6.0,8.4,7.5,7.7,7.0,6.7,9.2,5.8,9.2,7.4,6.3,4.1,12.0,5.4,9.2,7.5,8.6,9.6,3.2,7.8,5.5,9.1,7.7,15.3,11.2,9.8,4.4,7.9,7.1,5.9,5.1,6.3,8.6,7.4,7.2,5.5
2012-02,2012,February,7.9,7.3,8.7,7.6,10.9,8.1,8.2,7.1,9.6,8.8,9.6,6.7,7.6,9.0,8.4,5.1,5.9,8.2,7.4,7.7,7.0,6.7,9.1,5.7,9.1,7.2,6.2,4.1,11.8,5.4,9.2,7.3,8.6,9.5,3.1,7.6,5.4,9.0,7.7,15.1,11.0,9.7,4.3,7.8,7.0,5.8,5.0,6.2,8.5,7.3,7.1,5.4
2012-03,2012,March,8.0,7.3,8.6,7.6,10.8,8.1,8.3,7.1,9.4,8.7,9.5,6.6,7.5,8.9,8.3,5.1,5.9,8.1,7.4,7.6,7.0,6.6,9.1,5.7,9.0,7.1,6.1,4.0,11.6,5.4,9.3,7.2,8.7,9.4,3.0,7.5,5.3,9.0,7.7,14.9,10.9,9.6,4.3,7.8,6.9,5.7,5.0,6.2,8.5,7.3,7.1,5.3
2012-04,2012,April,8.1,7.2,8.6,7.6,10.7,8.1,8.3,7.2,9.3,8.7,9.5,6.4,7.5,8.9,8.3,5.1,5.8,8.1,7.4,7.6,7.0,6.6,9.2,5.7,8.9,7.0,6.1,4.0,11.5,5.4,9.4,7.1,8.7,9.4,3.0,7.4,5.2,8.9,7.7,14.7,10.7,9.5,4.3,7.9,6.9,5.6,5.0,6.2,8.4,7.4,7.1,5.3
2012-05,2012,May,8.2,7.2,8.5,7.6,10.6,8.0,8.4,7.2,9.1,8.7,9.4,6.3,7.4,9.0,8.3,5.0,5.8,8.1,7.3,7.6,7.0,6.6,9.2,5.6,9.0,7.0,6.1,4.0,11.4,5.5,9.5,7.1,8.7,9.4,3.0,7.4,5.2,8.9,7.8,14.5,10.6,9.5,4.3,7.9,6.9,5.5,5.0,6.2,8.4,7.5,7.1,5.3
2012-06,2012,June,8.3,7.1,8.5,7.6,10.5,8.0,8.5,7.2,8.9,8.6,9.3,6.1,7.3,9.0,8.3,5.1,5.7,8.2,7.2,7.5,7.0,6.6,9.2,5.6,9.0,6.9,6.1,4.0,11.3,5.5,9.5,7.0,8.7,9.3,3.0,7.3,5.2,8.9,7.9,14.2,10.5,9.4,4.3,8.0,6.8,5.4,5.0,6.1,8.3,7.6,7.1,5.3
2012-07,2012,July,8.2,7.1,8.3,7.6,10.4,7.9,8.5,7.2,8.8,8.5,9.1,6.0,7.2,9.0,8.3,5.0,5.7,8.2,7.0,7.5,7.0,6.6,9.2,5.6,9.1,6.9,6.0,4.0,11.1,5.5,9.4,7.0,8.6,9.3,3.0,7.3,5.2,8.8,7.9,14.1,10.3,9.2,4.4,7.9,6.7,5.3,5.0,6.1,8.2,7.6,7.1,5.3
2012-08,2012,August,8.1,7.0,8.2,7.6,10.2,7.8,8.5,7.3,8.8,8.4,9.0,5.8,7.1,9.0,8.3,5.0,5.6,8.2,6.8,7.4,7.0,6.6,9.1,5.6,9.0,6.8,5.9,4.0,11.0,5.6,9.4,7.0,8.5,9.2,3.1,7.2,5.2,8.7,7.9,14.0,10.2,9.0,4.3,7.8,6.6,5.2,5.0,6.0,8.0,7.7,7.0,5.4
2012-09,2012,September,7.9,7.0,8.1,7.5,10.0,7.7,8.4,7.3,8.7,8.3,8.9,5.6,7.0,8.9,8.3,5.0,5.6,8.2,6.7,7.3,6.9,6.7,9.1,5.6,9.0,6.8,5.9,4.0,10.8,5.6,9.3,7.0,8.4,9.2,3.1,7.2,5.2,8.7,7.9,14.0,10.1,8.9,4.3,7.7,6.5,5.2,4.9,5.9,7.8,7.6,6.9,5.3
2012-10,2012,October,7.8,7.0,8.0,7.5,9.9,7.7,8.4,7.3,8.7,8.1,8.8,5.4,6.8,9.0,8.3,5.0,5.6,8.1,6.7,7.3,6.9,6.7,9.0,5.5,8.9,6.8,5.8,4.0,10.7,5.5,9.3,7.1,8.3,9.1,3.1,7.3,5.2,8.7,7.9,14.2,9.9,8.7,4.2,7.7,6.5,5.1,4.8,5.9,7.7,7.6,6.9,5.3
