Date,years,months,"Unemployment level, 16yo and over, thousands","Job losers, 16yo and over, thousands","Job losers on layoff, 16yo and over, thousands","Job losers not on layoff, 16yo and over, thousands","Job leavers (quit), 16yo and over, thousands","Reentrants to labor force, 16yo and over, thousands","New entrants to labor force, 16yo and over, thousands"
2008-01,2008,January,7685,3851,1066,2785,823,2203,677
2008-02,2008,February,7497,3894,993,2901,796,2129,656
2008-03,2008,March,7822,4119,1074,3045,796,2121,704
2008-04,2008,April,7637,4067,1109,2958,847,2119,625
2008-05,2008,May,8395,4252,1071,3181,868,2493,797
2008-06,2008,June,8575,4390,1092,3298,859,2533,786
2008-07,2008,July,8937,4539,1074,3465,880,2662,835
2008-08,2008,August,9438,4942,1246,3696,1019,2655,821
2008-09,2008,September,9494,5257,1345,3912,995,2599,815
2008-10,2008,October,10074,5706,1325,4381,931,2623,819
2008-11,2008,November,10538,6228,1421,4807,927,2693,763
2008-12,2008,December,11286,6653,1505,5148,990,2826,803
2009-01,2009,January,12058,7450,1497,5953,901,2806,775
2009-02,2009,February,12898,8079,1519,6560,837,2939,999
2009-03,2009,March,13426,8539,1614,6926,882,3028,872
2009-04,2009,April,13853,8960,1684,7276,869,3107,901
2009-05,2009,May,14499,9421,1798,7623,904,3201,965
2009-06,2009,June,14707,9529,1712,7816,819,3331,1001
2009-07,2009,July,14601,9464,1713,7751,891,3260,1004
2009-08,2009,August,14814,9641,1654,7987,842,3282,1085
2009-09,2009,September,15009,9956,1894,8063,880,3262,1153
2009-10,2009,October,15352,9931,1672,8259,903,3411,1102
2009-11,2009,November,15219,9752,1522,8229,936,3236,1330
2009-12,2009,December,15098,9591,1496,8095,923,3371,1241
2010-01,2010,January,15046,9341,1463,7878,911,3650,1195
2010-02,2010,February,15113,9596,1575,8021,877,3469,1192
2010-03,2010,March,15202,9575,1668,7907,893,3591,1146
2010-04,2010,April,15325,9415,1391,8024,930,3772,1187
2010-05,2010,May,14849,9237,1469,7768,973,3388,1202
2010-06,2010,June,14474,9039,1353,7686,888,3300,1174
2010-07,2010,July,14512,8999,1194,7805,903,3377,1208
2010-08,2010,August,14648,9127,1444,7683,870,3372,1278
2010-09,2010,September,14579,9142,1338,7804,804,3399,1217
2010-10,2010,October,14516,8884,1272,7612,854,3481,1277
2010-11,2010,November,15081,9491,1442,8048,860,3445,1275
2010-12,2010,December,14348,8831,1374,7458,920,3379,1306
2011-01,2011,January,14013,8475,1224,7252,915,3358,1342
2011-02,2011,February,13820,8353,1302,7051,888,3348,1287
2011-03,2011,March,13737,8338,1250,7088,888,3317,1287
2011-04,2011,April,13957,8294,1289,7005,951,3416,1305
2011-05,2011,May,13855,8264,1247,7018,915,3379,1227
2011-06,2011,June,13962,8157,1183,6974,969,3514,1242
2011-07,2011,July,13763,8114,1179,6935,939,3383,1281
2011-08,2011,August,13818,8009,1181,6829,979,3520,1254
2011-09,2011,September,13948,8027,1203,6824,973,3470,1378
2011-10,2011,October,13594,7891,1247,6644,1086,3370,1287
2011-11,2011,November,13302,7651,1180,6471,1011,3357,1277
2011-12,2011,December,13093,7555,1238,6317,952,3359,1282
