,Date,Total Construction,Total Residential,Total Nonresidential,Total Lodging,Total Office,Total Commercial,Total Health Care,Total Educational,Total Religious,Total Public safety,Total Amusement and recreation,Total Transportation,Total Communication,Total Power,Total Highway and street,Total Sewage and waste disposal,Total Water supply,Total Conservation and development,Total Manufacturing,Total Private Construction,Private Residential,Private Nonresidential,Private Lodging,Private Office,Private Commercial,Private Health care,Private Educational,Private Religious,Private Amusement and recreation,Private Transportation,Private Communication,Private Power,Private Manufacturing,Total Public Construction,Public Residential,Public Nonresidential,Public Office,Public Commercial,Public Health care,Public Education,Public Public safety,Public Amusement and recreation,Public Transportation,Public Power,Public Highway and street,Public Sewage and waste disposal,Public Water supply,Public Conservation and development,Year,month,"Unemployment Rate, 16yo and over","Unemployment Rate, Men, 16yo and over","Unemployment Rate, Women, 16yo and over","Unemployment Rate, White, 16yo and over","Unemployment Rate, White, Men, 16yo and over","Unemployment Rate, White, Women, 16yo and over","Unemployment Rate, African American, 16yo and over","Unemployment Rate, African American, Men, 16yo and over","Unemployment Rate, African American, Women, 16yo and over","Unemployment Rate, Asian, 16yo and over","Unemployment Rate, Hispanic or Latino, 16yo and over","Unemployment Rate, 16-19yo","Unemployment Rate, Men, 16-19yo","Unemployment Rate, Women, 16-19yo","Unemployment Rate, White, 16-19yo","Unemployment Rate, White, Men, 16-19yo","Unemployment Rate, White, Women, 16-19yo","Unemployment Rate, African American, 16-19yo","Unemployment Rate, African American, Men, 16-19yo","Unemployment Rate, African American, Women, 16-19yo","Unemployment Rate, Hispanic or Latino, 16-19yo","Unemployment Rate, Hispanic or Latino, Men, 16-19yo","Unemployment Rate, Hispanic or Latino, Women, 16-19yo","Unemployment Rate, 20yo and over","Unemployment Rate, Men, 20yo and over","Unemployment Rate, Women, 20yo and over","Unemployment Rate, White, 20yo and over","Unemployment Rate, White, Men, 20yo and over","Unemployment Rate, White, Women, 20yo and over","Unemployment Rate, African American, 20yo and over","Unemployment Rate, African American, Men, 20yo and over","Unemployment Rate, African American, Women, 20yo and over","Unemployment Rate, Hispanic or Latino","Unemployment Rate, Hispanic or Latino, Men, 20yo and over","Unemployment Rate, Hispanic or Latino, Women, 20yo and over","Unemployment Rate, 20-24yo","Unemployment Rate, Men, 20-24yo","Unemployment Rate, Women, 20-24yo","Unemployment Rate, 25-34yo","Unemployment Rate, Men, 25-34yo","Unemployment Rate, Women, 25-34yo","Unemployment Rate, 35-44yo","Unemployment Rate, Men, 35-44yo","Unemployment Rate, Women, 35-44yo","Unemployment Rate, 45-54yo","Unemployment Rate, Men, 45-54yo","Unemployment Rate, Women, 45-54yo","Unemployment Rate, 55yo and over","Unemployment Rate, Men, 55yo and over","Unemployment Rate, Women, 55yo and over","Unemployment Rate, 25yo and over","Unemployment Rate, Men, 25yo and over","Unemployment Rate, Women, 25yo and over","Unemployment Rate, Less than High School diploma, 25yo and over","Unemployment Rate, High school-no college, 25yo and over","Unemployment Rate, Some college, 25yo and over","Unemployment Rate, Bachelor's degree or higher, 25yo and over"
0,2006-01,1195698.0,681319.0,514379.0,13561.0,46915.0,76900.0,35678.0,83383.0,7435.0,7423.0,16272.0,26374.0,21818.0,39569.0,66892.0,22527.0,14787.0,4616.0,30231.0,953079.0,675735.0,277343.0,13358.0,38860.0,73518.0,29799.0,13438.0,7432.0,7839.0,8658.0,21794.0,31412.0,29698.0,242619.0,5584.0,237035.0,8055.0,3382.0,5879.0,69946.0,6980.0,8433.0,17716.0,8156.0,66507.0,22299.0,14377.0,4543.0,2006,January,4.7,4.6,4.8,4.1,4.1,4.2,8.9,8.5,9.2,3.0,5.5,15.1,16.1,14.2,13.1,14.3,11.9,29.0,27.4,30.3,18.2,17.1,19.7,4.2,4.1,4.3,3.7,3.6,3.7,7.9,7.6,8.1,4.8,4.3,5.6,8.2,8.9,7.3,4.6,4.3,5.1,3.7,3.2,4.2,3.2,3.3,3.2,3.1,3.2,3.1,3.7,3.5,3.9,7.0,4.4,3.6,2.1
1,2006-02,1205060.0,683903.0,521157.0,14272.0,49018.0,74345.0,36434.0,83987.0,7839.0,7733.0,16979.0,27114.0,21318.0,42112.0,68677.0,23037.0,14338.0,4530.0,29424.0,958267.0,677984.0,280283.0,14074.0,41160.0,71295.0,30242.0,13516.0,7836.0,8345.0,9340.0,21300.0,32754.0,28900.0,246794.0,5920.0,240874.0,7858.0,3051.0,6192.0,70471.0,7327.0,8634.0,17774.0,9358.0,68286.0,22826.0,13911.0,4445.0,2006,February,4.8,4.8,4.8,4.1,4.2,4.1,9.5,9.9,9.1,3.0,5.4,15.3,16.8,13.8,12.9,14.5,11.2,29.7,30.9,28.7,14.1,14.8,13.2,4.2,4.2,4.3,3.7,3.7,3.7,8.3,8.8,7.9,4.9,4.5,5.6,8.6,9.2,8.0,5.2,5.1,5.3,3.6,3.1,4.1,3.2,3.3,3.1,2.9,2.8,3.0,3.7,3.7,3.9,7.1,4.4,3.6,2.2
2,2006-03,1205018.0,674306.0,530712.0,15619.0,49179.0,74922.0,36751.0,84429.0,8032.0,7688.0,17251.0,27974.0,21285.0,41740.0,70702.0,23609.0,15065.0,5143.0,31325.0,953525.0,668160.0,285365.0,15394.0,41573.0,71801.0,30549.0,13568.0,8029.0,8383.0,9132.0,21276.0,32962.0,30851.0,251494.0,6146.0,245347.0,7606.0,3121.0,6202.0,70861.0,7217.0,8869.0,18843.0,8778.0,70141.0,23328.0,14614.0,5058.0,2006,March,4.7,4.7,4.7,4.0,4.0,4.0,9.5,9.8,9.3,3.5,5.2,16.1,17.1,15.1,13.0,14.1,11.8,34.9,34.4,35.3,14.3,14.2,14.5,4.1,4.1,4.2,3.6,3.5,3.6,8.1,8.4,7.8,4.7,4.0,5.7,7.8,8.5,7.0,4.8,4.4,5.2,3.8,3.6,4.1,3.2,3.3,3.0,2.6,2.6,2.7,3.6,3.5,3.8,6.9,4.1,3.7,2.2
3,2006-04,1192849.0,656452.0,536398.0,17444.0,52392.0,73856.0,37058.0,83236.0,7817.0,7753.0,18141.0,27457.0,21537.0,40721.0,74019.0,22681.0,14697.0,5283.0,32307.0,937592.0,649941.0,287651.0,17106.0,43884.0,70472.0,30768.0,13715.0,7812.0,9188.0,8412.0,21511.0,31277.0,31862.0,255257.0,6510.0,248746.0,8508.0,3384.0,6290.0,69521.0,7336.0,8953.0,19045.0,9444.0,73543.0,22427.0,14276.0,5206.0,2006,April,4.7,4.7,4.7,4.1,4.1,4.0,9.4,10.0,8.8,3.9,5.5,14.6,16.7,12.5,12.7,14.7,10.6,29.6,32.3,27.0,15.0,16.1,13.6,4.2,4.2,4.3,3.6,3.6,3.7,8.3,8.8,7.9,5.0,4.2,6.2,8.2,8.7,7.7,4.9,4.7,5.2,3.8,3.5,4.1,3.2,3.1,3.2,3.0,3.2,3.0,3.7,3.6,3.9,6.9,4.4,3.8,2.2
4,2006-05,1180699.0,640166.0,540532.0,17269.0,53233.0,75490.0,37688.0,83137.0,7911.0,7747.0,19149.0,27688.0,21201.0,41016.0,73929.0,22149.0,15395.0,5348.0,32184.0,926859.0,633932.0,292927.0,16952.0,45024.0,72497.0,31340.0,13792.0,7876.0,9709.0,8700.0,21174.0,32185.0,31848.0,253839.0,6234.0,247605.0,8209.0,2993.0,6349.0,69345.0,7322.0,9440.0,18988.0,8830.0,73387.0,21858.0,14903.0,5269.0,2006,May,4.6,4.7,4.5,4.1,4.2,3.9,8.7,9.8,7.7,3.3,5.0,14.0,16.3,11.6,12.6,15.2,9.9,24.5,29.1,19.8,15.1,17.5,12.2,4.1,4.2,4.1,3.6,3.6,3.6,7.9,8.8,7.1,4.5,3.8,5.6,8.1,9.0,7.1,4.8,4.6,5.0,3.5,3.3,3.8,3.3,3.5,3.1,3.0,3.0,2.9,3.7,3.6,3.7,7.0,4.3,3.8,2.1
5,2006-06,1172074.0,621166.0,550909.0,18494.0,54943.0,75894.0,39022.0,84681.0,7773.0,7545.0,19081.0,28808.0,21650.0,42229.0,74399.0,22852.0,15001.0,5220.0,33318.0,914333.0,614999.0,299334.0,18120.0,46537.0,73107.0,32570.0,13552.0,7773.0,9033.0,9022.0,21622.0,33251.0,33010.0,257741.0,6167.0,251575.0,8405.0,2787.0,6452.0,71129.0,7145.0,10048.0,19785.0,8978.0,73872.0,22559.0,14568.0,5136.0,2006,June,4.6,4.6,4.6,4.1,4.1,4.0,8.9,9.3,8.4,3.1,5.2,15.8,17.6,13.9,13.6,15.3,11.9,28.3,33.1,23.8,16.7,19.9,12.4,4.1,4.0,4.1,3.6,3.6,3.6,7.8,8.0,7.6,4.6,4.2,5.1,7.8,7.9,7.7,4.6,4.6,4.6,3.5,3.3,3.7,3.2,3.0,3.4,3.0,3.2,2.9,3.6,3.5,3.7,7.1,4.1,3.5,2.1
6,2006-07,1157784.0,603878.0,553906.0,19132.0,56694.0,76221.0,38721.0,84821.0,7679.0,7583.0,19578.0,28479.0,21919.0,40594.0,76186.0,23418.0,15137.0,5209.0,32535.0,899746.0,598344.0,301402.0,18688.0,48280.0,73227.0,32258.0,13370.0,7672.0,9519.0,8835.0,21868.0,33838.0,32092.0,258037.0,5534.0,252504.0,8414.0,2994.0,6463.0,71452.0,7162.0,10059.0,19644.0,6756.0,75761.0,23093.0,14639.0,5122.0,2006,July,4.7,4.7,4.7,4.1,4.1,4.1,9.5,10.5,8.6,2.4,5.2,15.9,17.5,14.2,13.0,14.3,11.6,32.9,36.4,29.4,14.8,16.3,13.0,4.2,4.1,4.2,3.6,3.6,3.7,8.3,9.1,7.6,4.6,4.7,4.6,8.4,8.8,8.0,4.8,4.8,4.7,3.6,3.2,4.0,3.2,3.2,3.3,3.1,3.1,3.0,3.7,3.6,3.8,7.1,4.5,3.6,2.0
7,2006-08,1146049.0,590330.0,555719.0,19387.0,57075.0,76781.0,39374.0,83530.0,7589.0,7229.0,20065.0,27763.0,22352.0,41903.0,73190.0,23456.0,14742.0,5035.0,36248.0,891165.0,584601.0,306563.0,18805.0,48623.0,73435.0,33008.0,13190.0,7577.0,9858.0,7997.0,22297.0,34016.0,35881.0,254884.0,5729.0,249155.0,8452.0,3346.0,6366.0,70340.0,6863.0,10207.0,19766.0,7888.0,72577.0,23174.0,14222.0,4939.0,2006,August,4.7,4.7,4.6,4.1,4.1,4.1,8.8,9.7,8.0,3.0,5.3,16.0,17.2,14.8,14.0,15.1,12.9,28.8,32.8,25.1,15.3,17.6,12.3,4.1,4.1,4.1,3.6,3.6,3.6,7.8,8.5,7.2,4.8,4.6,5.1,8.2,9.1,7.1,4.4,4.3,4.6,3.8,3.5,4.1,3.3,3.3,3.2,2.9,2.9,2.8,3.6,3.5,3.7,6.8,4.6,3.5,1.8
8,2006-09,1136144.0,580144.0,556000.0,19628.0,56502.0,77977.0,39608.0,84416.0,7560.0,7834.0,20502.0,27766.0,23392.0,41841.0,70659.0,23314.0,14966.0,5363.0,34674.0,881363.0,574270.0,307094.0,18890.0,47777.0,74597.0,33085.0,13901.0,7556.0,10185.0,8279.0,23372.0,33405.0,34212.0,254781.0,5875.0,248906.0,8726.0,3380.0,6523.0,70515.0,7441.0,10318.0,19486.0,8436.0,70247.0,23010.0,14343.0,5259.0,2006,September,4.5,4.4,4.7,3.9,3.7,4.1,9.0,9.7,8.5,3.0,5.5,16.3,17.7,14.8,13.8,14.8,12.7,32.2,39.8,26.7,18.1,18.5,17.6,3.9,3.7,4.2,3.4,3.2,3.7,7.8,8.3,7.4,4.8,4.1,5.9,7.9,8.4,7.4,4.5,4.0,5.2,3.5,3.3,3.6,3.0,2.8,3.2,2.9,2.6,3.2,3.5,3.2,3.8,6.4,4.1,3.6,2.1
9,2006-10,1123281.0,568119.0,555162.0,20797.0,56759.0,76633.0,39509.0,85377.0,7723.0,8103.0,20310.0,27777.0,23304.0,42046.0,69912.0,24034.0,15168.0,4990.0,32721.0,866378.0,561811.0,304567.0,19974.0,47311.0,72694.0,32761.0,14394.0,7716.0,10229.0,8363.0,23277.0,33813.0,32318.0,256903.0,6308.0,250595.0,9449.0,3940.0,6748.0,70983.0,7693.0,10081.0,19414.0,8232.0,69466.0,23692.0,14715.0,4922.0,2006,October,4.4,4.4,4.4,3.9,3.8,3.9,8.4,9.5,7.5,2.8,4.8,15.2,16.4,13.9,13.0,13.8,12.2,26.4,33.8,20.3,13.4,15.0,11.5,3.9,3.9,3.9,3.4,3.4,3.5,7.5,8.2,6.8,4.4,3.8,5.2,8.4,8.8,8.0,4.6,4.6,4.7,2.9,2.7,3.1,2.7,2.6,2.9,3.0,2.9,3.0,3.3,3.2,3.4,5.8,4.1,3.4,1.9
