Year,Group,Unemployment Rate
2006,Male Unemployment Rate,4.608333333333333
2007,Male Unemployment Rate,4.725
2008,Male Unemployment Rate,6.141666666666667
2009,Male Unemployment Rate,10.325000000000001
2010,Male Unemployment Rate,10.491666666666665
2011,Male Unemployment Rate,9.366666666666669
2012,Male Unemployment Rate,8.216666666666667
2013,Male Unemployment Rate,7.633333333333334
2014,Male Unemployment Rate,6.258333333333333
2015,Male Unemployment Rate,5.358333333333334
2016,Male Unemployment Rate,4.95
2017,Male Unemployment Rate,4.3916666666666675
2018,Male Unemployment Rate,3.9416666666666664
2006,Female Unemployment Rate,4.616666666666667
2007,Female Unemployment Rate,4.500000000000001
2008,Female Unemployment Rate,5.425
2009,Female Unemployment Rate,8.075
2010,Female Unemployment Rate,8.624999999999998
2011,Female Unemployment Rate,8.458333333333334
2012,Female Unemployment Rate,7.883333333333332
2013,Female Unemployment Rate,7.074999999999999
2014,Female Unemployment Rate,6.050000000000001
2015,Female Unemployment Rate,5.183333333333334
2016,Female Unemployment Rate,4.791666666666667
2017,Female Unemployment Rate,4.316666666666667
2018,Female Unemployment Rate,3.849999999999999
2006,Unemployment Rate (Both Sexes),4.608333333333333
2007,Unemployment Rate (Both Sexes),4.616666666666667
2008,Unemployment Rate (Both Sexes),5.8
2009,Unemployment Rate (Both Sexes),9.283333333333333
2010,Unemployment Rate (Both Sexes),9.608333333333333
2011,Unemployment Rate (Both Sexes),8.933333333333334
2012,Unemployment Rate (Both Sexes),8.075000000000001
2013,Unemployment Rate (Both Sexes),7.358333333333334
2014,Unemployment Rate (Both Sexes),6.158333333333334
2015,Unemployment Rate (Both Sexes),5.275
2016,Unemployment Rate (Both Sexes),4.875
2017,Unemployment Rate (Both Sexes),4.341666666666668
2018,Unemployment Rate (Both Sexes),3.891666666666667
