,years,"Unemployment Rate, 16-24yo","Unemployment Rate, 20-24yo","Unemployment Rate, Men, 20-24yo","Unemployment Rate, Women, 20-24yo","Unemployment Rate, 25-34yo","Unemployment Rate, Men, 25-34yo","Unemployment Rate, Women, 25-34yo","Unemployment Rate, 35-44yo","Unemployment Rate, Men, 35-44yo","Unemployment Rate, Women, 35-44yo","Unemployment Rate, 45-54yo","Unemployment Rate, Men, 45-54yo","Unemployment Rate, Women, 45-54yo","Unemployment Rate, 55yo and over","Unemployment Rate, Men, 55yo and over","Unemployment Rate, Women, 55yo and over","Unemployment Rate, 25yo and over","Unemployment Rate, Men, 25yo and over","Unemployment Rate, Women, 25yo and over"
155,2006,10.4,8.2,8.9,7.3,4.6,4.3,5.1,3.7,3.2,4.2,3.2,3.3,3.2,3.1,3.2,3.1,3.7,,3.9
144,2006,10.0,7.8,8.1,7.4,4.3,4.2,4.4,3.7,3.5,3.9,2.9,2.8,2.9,3.0,3.2,2.7,3.5,,3.5
145,2006,10.6,8.5,8.9,8.1,4.4,4.5,4.4,3.5,3.4,3.6,2.8,2.6,3.1,3.0,3.0,3.1,3.5,,3.6
146,2006,10.6,8.4,8.8,8.0,4.6,4.6,4.7,2.9,2.7,3.1,2.7,2.6,2.9,3.0,2.9,3.0,3.3,,3.4
147,2006,10.6,7.9,8.4,7.4,4.5,4.0,5.2,3.5,3.3,3.6,3.0,2.8,3.2,2.9,2.6,3.2,3.5,,3.8
148,2006,10.7,8.2,9.1,7.1,4.4,4.3,4.6,3.8,3.5,4.1,3.3,3.3,3.2,2.9,2.9,2.8,3.6,,3.7
154,2006,10.8,8.6,9.2,8.0,5.2,5.1,5.3,3.6,3.1,4.1,3.2,3.3,3.1,2.9,2.8,3.0,3.7,,3.9
150,2006,10.4,7.8,7.9,7.7,4.6,4.6,4.6,3.5,3.3,3.7,3.2,3.0,3.4,3.0,3.2,2.9,3.6,,3.7
151,2006,10.0,8.1,9.0,7.1,4.8,4.6,5.0,3.5,3.3,3.8,3.3,3.5,3.1,3.0,3.0,2.9,3.7,,3.7
152,2006,10.3,8.2,8.7,7.7,4.9,4.7,5.2,3.8,3.5,4.1,3.2,3.1,3.2,3.0,3.2,3.0,3.7,,3.9
153,2006,10.5,7.8,8.5,7.0,4.8,4.4,5.2,3.8,3.6,4.1,3.2,3.3,3.0,2.6,2.6,2.7,3.6,,3.8
149,2006,10.9,8.4,8.8,8.0,4.8,4.8,4.7,3.6,3.2,4.0,3.2,3.2,3.3,3.1,3.1,3.0,3.7,,3.8
132,2007,11.7,9.4,9.8,8.9,4.9,5.1,4.8,3.8,3.7,3.9,3.5,3.3,3.7,3.2,3.2,3.3,3.8,,3.8
133,2007,10.8,8.3,8.9,7.5,4.7,4.9,4.6,3.6,3.3,3.9,3.3,3.1,3.5,3.0,3.1,3.0,3.7,,3.8
134,2007,10.7,8.6,9.2,7.8,4.7,4.9,4.5,3.4,3.3,3.6,3.4,3.2,3.6,3.1,3.1,3.1,3.7,,3.7
135,2007,11.2,9.0,10.0,7.8,4.8,4.7,5.0,3.3,3.2,3.4,3.1,3.0,3.3,3.1,3.2,3.0,3.6,,3.7
136,2007,10.7,8.4,9.0,7.6,4.6,4.7,4.6,3.6,3.1,4.1,3.1,3.1,3.2,3.2,3.3,3.0,3.6,,3.7
137,2007,10.5,8.3,9.1,7.4,4.6,4.3,5.0,3.8,3.5,4.0,3.2,3.2,3.1,3.2,3.4,2.9,3.7,,3.8
