Years,Total Non-Farm,Total Private,Goods Production,Service Production,Private Service Production,Mining and Lodging,Construction,Manufacturing,Durable Goods,NonDurable Good,"Trade, Transportation and Utilities",WholeSale Trade,Retail Trade,Transportation and Warehousing,Utilities,Information,Financial Activities,Professional and Business Services,Education and Health Services,Leisure and Hospitality,Other Services,Government,Unemployment Rate for 16yo and over
2006,136434.0,114459.0,22530.666666666668,113903.33333333333,91928.33333333333,684.5833333333334,7689.583333333333,14156.5,8981.75,5174.75,26205.083333333332,5841.066666666666,15359.41666666667,4456.358333333334,548.3333333333334,3037.9166666666665,8366.666666666666,17620.25,18151.833333333332,13109.0,5437.583333333333,21975.0,3.891666666666667
2007,137977.5,115758.08333333333,22228.5,115749.0,93529.58333333333,723.3333333333334,7627.333333333333,13877.833333333334,8807.416666666666,5070.416666666667,26552.833333333332,5948.058333333333,15522.191666666668,4529.150000000001,553.4,3031.3333333333335,8347.666666666666,18001.083333333332,18675.916666666668,13427.916666666666,5492.833333333333,22219.416666666668,4.341666666666668
2008,137224.58333333334,114721.66666666667,21331.5,115893.08333333333,93390.16666666667,765.75,7162.333333333333,13403.416666666666,8462.75,4940.666666666667,26220.083333333332,5874.700000000001,15290.683333333332,4495.858333333334,558.7833333333333,2983.1666666666665,8204.916666666666,17798.0,19228.416666666668,13440.666666666666,5514.916666666667,22502.916666666668,4.875
2009,131288.83333333334,108736.08333333333,18559.166666666668,112729.66666666667,90176.91666666667,694.0,6017.333333333333,11847.833333333334,7284.416666666667,4563.416666666667,24834.583333333332,5520.883333333332,14528.533333333333,4225.208333333333,559.8666666666667,2803.5,7838.166666666667,16633.416666666668,19627.666666666668,13073.583333333334,5366.0,22552.75,5.275
2010,130336.75,107847.08333333333,17751.75,112585.0,90095.33333333333,704.75,5518.333333333333,11528.666666666666,7064.166666666667,4464.5,24569.916666666668,5386.591666666667,14450.441666666668,4179.95,552.7833333333334,2707.25,7695.166666666667,16777.75,19972.583333333332,13041.916666666666,5330.75,22489.666666666668,6.158333333333334
2011,131921.66666666666,109828.83333333333,18045.25,113876.41666666667,91783.58333333333,788.25,5529.916666666667,11727.083333333334,7273.583333333333,4453.5,24993.416666666668,5474.375,14674.841666666669,4291.633333333333,552.5416666666666,2673.25,7696.25,17386.333333333332,20321.833333333332,13351.833333333334,5360.666666666667,22092.833333333332,7.358333333333334
2012,134156.58333333334,112237.0,18419.916666666668,115736.66666666667,93817.08333333333,847.4166666666666,5645.5,11927.0,7469.333333333333,4457.666666666667,25396.916666666668,5595.583333333333,14844.924999999997,4403.516666666667,552.7333333333333,2674.9166666666665,7783.416666666667,17992.083333333332,20769.166666666668,13770.416666666666,5430.166666666667,21919.583333333332,8.075000000000001
2013,136355.66666666666,114508.41666666667,18738.833333333332,117616.83333333333,95769.58333333333,862.5833333333334,5857.083333333333,12019.166666666666,7546.583333333333,4472.583333333333,25776.5,5661.05,15077.808333333332,4485.75,551.85,2704.9166666666665,7885.916666666667,18579.416666666668,21084.5,14255.333333333334,5483.0,21847.25,8.933333333333334
2014,138922.25,117047.16666666667,19225.833333333332,119696.41666666667,97821.33333333333,890.4166666666666,6150.833333333333,12184.583333333334,7673.666666666667,4510.916666666667,26303.25,5739.3,15366.291666666666,4646.458333333334,551.225,2726.1666666666665,7976.0,19122.75,21436.0,14690.583333333334,5566.583333333333,21875.083333333332,9.608333333333333
2015,141804.25,119777.25,19607.583333333332,122196.66666666667,100169.66666666667,812.6666666666666,6460.0,12334.916666666666,7765.083333333333,4569.833333333333,26806.333333333332,5780.133333333334,15614.458333333336,4855.825,555.9083333333334,2750.0,8123.416666666667,19689.666666666668,22025.0,15153.833333333334,5621.416666666667,22027.0,9.283333333333333
2016,144329.41666666666,122099.83333333333,19747.75,124581.66666666667,102352.08333333333,668.1666666666666,6726.916666666667,12352.666666666666,7713.166666666667,4639.5,27180.75,5786.400000000001,15836.716666666667,5001.325,556.2416666666667,2793.0833333333335,8284.833333333334,20106.583333333332,22640.083333333332,15656.583333333334,5690.166666666667,22229.583333333332,5.8
2017,146589.16666666666,124240.91666666667,20079.666666666668,126509.5,104161.25,675.4166666666666,6965.333333333333,12438.916666666666,7739.75,4699.166666666667,27383.916666666668,5813.125000000001,15838.641666666668,5176.774999999999,555.3750000000001,2812.0833333333335,8449.416666666666,20504.833333333332,23189.416666666668,16052.75,5768.833333333333,22348.25,4.616666666666667
2018,148890.75,126442.75,20700.916666666668,128189.83333333333,105741.83333333333,726.5833333333334,7286.666666666667,12687.666666666666,7945.416666666667,4742.25,27599.75,5840.466666666667,15779.758333333331,5425.891666666667,553.4416666666665,2837.0833333333335,8589.333333333334,20950.0,23636.166666666668,16298.916666666666,5830.583333333333,22448.0,4.608333333333333
