Years,Periods,Months,Total Non-Farm,Total Private,Goods Production,Service Production,Private Service Production,Mining and Lodging,Construction,Manufacturing,Durable Goods,NonDurable Good,"Trade, Transportation and Utilities",WholeSale Trade,Retail Trade,Transportation and Warehousing,Utilities,Information,Financial Activities,Professional and Business Services,Education and Health Services,Leisure and Hospitality,Other Services,Government,Unemployment Rate for 16yo and over
2006,M01,January,135429,113582,22467,112962,91115,656,7601,14210,8982,5228,26092,5780.6,15353.6,4407.9,549.8,3052,8307,17348,17946,12945,5425,21847,3.9
2006,M02,February,135737,113859,22535,113202,91324,662,7664,14209,8986,5223,26128,5796.5,15363.0,4418.1,550.1,3052,8332,17408,17998,12980,5426,21878,3.7
2006,M03,March,136047,114144,22572,113475,91572,669,7689,14214,9000,5214,26169,5811.6,15392.0,4417.8,547.5,3055,8349,17495,18045,13034,5425,21903,3.8
2006,M04,April,136205,114286,22631,113574,91655,679,7726,14226,9020,5206,26153,5823.5,15347.7,4433.3,548.9,3046,8371,17515,18070,13074,5426,21919,3.7
2006,M05,May,136244,114318,22597,113647,91721,681,7713,14203,9017,5186,26149,5835.2,15320.1,4445.8,548.3,3039,8376,17572,18100,13052,5433,21926,3.8
2006,M06,June,136325,114403,22598,113727,91805,686,7699,14213,9028,5185,26168,5839.1,15330.2,4451.3,547.6,3036,8364,17642,18102,13061,5432,21922,3.8
2006,M07,July,136520,114547,22590,113930,91957,690,7712,14188,9008,5180,26191,5847.9,15329.6,4465.7,547.9,3031,8366,17682,18128,13130,5429,21973,4.0
2006,M08,August,136694,114683,22572,114122,92111,693,7720,14159,8992,5167,26208,5856.2,15338.9,4465.3,548.0,3035,8374,17728,18182,13152,5432,22011,3.8
2006,M09,September,136843,114761,22537,114306,92224,694,7718,14125,8972,5153,26242,5864.9,15354.3,4474.5,548.5,3028,8390,17718,18248,13150,5448,22082,4.0
2006,M10,October,136852,114784,22456,114396,92328,699,7682,14075,8945,5130,26268,5863.4,15373.7,4484.0,546.9,3024,8385,17722,18288,13187,5454,22068,4.0
2006,M11,November,137063,114980,22408,114655,92572,701,7666,14041,8918,5123,26321,5874.4,15402.6,4496.1,548.0,3025,8393,17790,18337,13251,5455,22083,4.1
2006,M12,December,137249,115161,22405,114844,92756,705,7685,14015,8913,5102,26372,5899.5,15407.3,4516.5,548.5,3032,8393,17823,18378,13292,5466,22088,4.1
2007,M01,January,137477,115382,22439,115038,92943,706,7725,14008,8890,5118,26418,5903.6,15447.6,4518.0,548.6,3029,8389,17887,18415,13338,5467,22095,4.1
2007,M02,February,137558,115427,22334,115224,93093,711,7626,13997,8889,5108,26466,5918.7,15479.3,4519.1,548.5,3033,8390,17918,18451,13361,5474,22131,4.2
2007,M03,March,137793,115644,22391,115402,93253,715,7706,13970,8871,5099,26541,5921.9,15547.7,4522.5,549.1,3029,8380,17949,18507,13363,5484,22149,4.1
2007,M04,April,137842,115667,22350,115492,93317,719,7686,13945,8860,5085,26527,5937.6,15513.2,4525.0,551.4,3034,8361,17966,18563,13375,5491,22175,4.2
2007,M05,May,137993,115800,22323,115670,93477,721,7673,13929,8846,5083,26560,5945.2,15534.5,4526.4,553.7,3040,8370,17999,18608,13404,5496,22193,4.4
2007,M06,June,138069,115862,22323,115746,93539,725,7687,13911,8830,5081,26549,5955.1,15513.9,4524.9,554.9,3038,8368,18011,18661,13413,5499,22207,4.3
2007,M07,July,138038,115867,22277,115761,93590,728,7660,13889,8815,5074,26560,5962.0,15515.0,4527.9,555.0,3037,8370,18015,18691,13417,5500,22171,4.3
2007,M08,August,138015,115789,22165,115850,93624,727,7610,13828,8778,5050,26558,5961.4,15517.1,4524.0,555.8,3029,8342,18025,18755,13419,5496,22226,4.4
2007,M09,September,138095,115816,22093,116002,93723,726,7577,13790,8752,5038,26587,5962.6,15523.3,4546.0,555.4,3030,8319,18022,18812,13461,5492,22279,4.4
2007,M10,October,138174,115877,22056,116118,93821,727,7565,13764,8727,5037,26585,5969.4,15518.4,4541.4,555.8,3028,8308,18058,18849,13499,5494,22297,4.4
2007,M11,November,138284,115950,22015,116269,93935,735,7523,13757,8724,5033,26643,5969.5,15578.9,4538.6,555.5,3025,8293,18059,18875,13535,5505,22334,4.6
2007,M12,December,138392,116016,21976,116416,94040,740,7490,13746,8707,5039,26640,5969.7,15577.4,4536.0,557.1,3024,8282,18104,18924,13550,5516,22376,4.7
2008,M01,January,138403,116015,21947,116456,94068,746,7476,13725,8693,5032,26630,5967.1,15568.5,4537.8,557.0,3025,8277,18094,18978,13542,5522,22388,4.7
2008,M02,February,138324,115907,21897,116427,94010,748,7453,13696,8673,5023,26583,5957.2,15527.5,4541.6,556.3,3019,8268,18046,19018,13543,5533,22417,4.7
2008,M03,March,138275,115832,21820,116455,94012,755,7406,13659,8646,5013,26581,5947.5,15534.5,4542.4,556.4,3021,8267,18005,19068,13531,5539,22443,4.9
2008,M04,April,138035,115585,21681,116354,93904,755,7327,13599,8597,5002,26463,5925.5,15433.6,4546.8,556.9,3012,8256,17996,19126,13511,5540,22450,5.0
2008,M05,May,137858,115375,21599,116259,93776,761,7274,13564,8579,4985,26384,5912.5,15379.2,4535.2,556.8,3008,8248,17936,19166,13498,5536,22483,4.9
2008,M06,June,137687,115170,21483,116204,93687,766,7213,13504,8542,4962,26323,5899.8,15342.8,4522.6,557.8,3001,8236,17896,19224,13482,5525,22517,4.8
2008,M07,July,137491,114923,21360,116131,93563,770,7160,13430,8488,4942,26263,5878.4,15307.4,4517.4,559.6,2987,8219,17835,19275,13463,5521,22568,4.9
2008,M08,August,137213,114646,21250,115963,93396,778,7114,13358,8430,4928,26166,5857.4,15249.0,4500.4,558.9,2973,8205,17771,19337,13431,5513,22567,4.8
2008,M09,September,136753,114216,21101,115652,93115,782,7044,13275,8372,4903,26048,5845.4,15178.6,4464.8,559.4,2961,8172,17700,19343,13379,5512,22537,5.0
2008,M10,October,136272,113723,20895,115377,92828,781,6967,13147,8275,4872,25918,5806.4,15100.8,4450.0,560.9,2950,8139,17590,19363,13352,5516,22549,5.0
2008,M11,November,135545,112985,20623,114922,92362,776,6813,13034,8193,4841,25731,5769.8,14989.4,4409.1,562.5,2932,8102,17420,19401,13300,5476,22560,4.9
2008,M12,December,134839,112283,20322,114517,91961,771,6701,12850,8065,4785,25551,5729.4,14876.9,4382.2,562.9,2909,8070,17287,19442,13256,5446,22556,4.9
2009,M01,January,134055,111476,19889,114166,91587,761,6567,12561,7832,4729,25415,5698.8,14794.5,4358.5,563.0,2891,8017,17132,19482,13222,5428,22579,5.0
2009,M02,February,133312,110736,19575,113737,91161,749,6446,12380,7699,4681,25268,5650.7,14719.4,4334.5,563.6,2878,7968,16936,19507,13193,5411,22576,5.1
2009,M03,March,132512,109952,19227,113285,90725,728,6291,12208,7577,4631,25123,5608.3,14650.7,4301.0,563.0,2864,7927,16787,19514,13127,5383,22560,5.0
2009,M04,April,131817,109140,18894,112923,90246,710,6154,12030,7428,4602,24942,5561.9,14563.1,4255.3,561.3,2833,7870,16652,19521,13056,5372,22677,5.0
2009,M05,May,131475,108858,18655,112820,90203,693,6100,11862,7289,4573,24893,5537.2,14558.3,4237.4,559.8,2807,7844,16602,19582,13106,5369,22617,5.1
2009,M06,June,131008,108432,18422,112586,90010,686,6010,11726,7182,4544,24835,5513.7,14541.0,4219.8,560.1,2796,7820,16497,19614,13076,5372,22576,5.2
2009,M07,July,130668,108147,18278,112390,89869,678,5932,11668,7146,4522,24734,5488.4,14488.9,4198.2,558.8,2780,7806,16474,19629,13078,5368,22521,5.3
2009,M08,August,130485,107948,18151,112334,89797,670,5855,11626,7113,4513,24697,5471.1,14480.5,4187.8,557.9,2767,7782,16465,19681,13046,5359,22537,5.6
2009,M09,September,130244,107793,18043,112201,89750,665,5787,11591,7084,4507,24643,5454.3,14450.2,4179.5,558.8,2768,7771,16469,19692,13054,5353,22451,5.4
2009,M10,October,130045,107521,17915,112130,89606,661,5716,11538,7044,4494,24537,5433.4,14381.6,4163.8,558.6,2763,7754,16488,19736,12995,5333,22524,5.4
2009,M11,November,130057,107524,17869,112188,89655,664,5696,11509,7020,4489,24519,5423.3,14379.4,4158.3,557.5,2752,7756,16548,19770,12986,5324,22533,5.5
2009,M12,December,129788,107306,17792,111996,89514,663,5654,11475,6999,4476,24409,5409.5,14334.8,4108.4,556.0,2743,7743,16551,19804,12944,5320,22482,5.7
2010,M01,January,129790,107299,17707,112083,89592,667,5580,11460,6989,4471,24476,5390.2,14401.0,4129.0,556.0,2737,7732,16572,19820,12932,5323,22491,5.6
2010,M02,February,129698,107222,17627,112071,89595,674,5500,11453,6985,4468,24461,5379.3,14397.1,4129.4,554.8,2737,7724,16591,19839,12927,5316,22476,5.8
2010,M03,March,129879,107361,17672,112207,89689,682,5537,11453,6996,4457,24521,5378.8,14446.7,4140.8,554.5,2718,7708,16574,19896,12943,5329,22518,5.7
2010,M04,April,130110,107541,17729,112381,89812,687,5553,11489,7026,4463,24507,5378.5,14427.2,4147.1,554.2,2715,7708,16666,19902,12979,5335,22569,5.9
2010,M05,May,130650,107654,17742,112908,89912,697,5520,11525,7053,4472,24526,5375.0,14438.6,4158.3,553.6,2709,7699,16702,19934,13012,5330,22996,6.1
2010,M06,June,130511,107771,17763,112748,90008,702,5516,11545,7072,4473,24549,5379.3,14442.1,4175.2,552.0,2703,7688,16764,19955,13034,5315,22740,6.2
2010,M07,July,130427,107858,17777,112650,90081,708,5508,11561,7083,4478,24574,5380.9,14449.2,4192.6,551.4,2703,7677,16773,19980,13048,5326,22569,6.1
2010,M08,August,130422,108002,17793,112629,90209,716,5524,11553,7090,4463,24577,5382.6,14454.3,4188.9,551.5,2702,7676,16833,20017,13081,5323,22420,6.3
2010,M09,September,130357,108110,17787,112570,90323,723,5501,11563,7105,4458,24623,5388.5,14478.3,4206.3,549.4,2697,7683,16850,20001,13137,5332,22247,6.2
2010,M10,October,130625,108328,17801,112824,90527,731,5508,11562,7109,4453,24675,5396.1,14510.7,4216.4,551.6,2695,7682,16917,20074,13127,5357,22297,6.7
2010,M11,November,130750,108463,17827,112923,90636,736,5506,11585,7125,4460,24664,5401.6,14486.0,4225.3,551.1,2689,7681,17011,20119,13126,5346,22287,6.7
2010,M12,December,130822,108556,17796,113026,90760,734,5467,11595,7137,4458,24686,5408.3,14474.1,4250.1,553.3,2682,7684,17080,20134,13157,5337,22266,6.6
